Activo	Pregunta frecuente	Respuesta aprobada	Cuando derivar a persona	No prometer	Notas para el bot	Interpretacion IA	Estado IA	Observaciones IA
SI	que servicios ofrece clinyco	Clinyco publica servicios de cirugia bariatrica, endoscopia/colonoscopia, cirugia digestiva, gastroenterologia, cirugia plastica y telemedicina.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente publica: www.clinyco.cl (home servicios, revisado 2026-03-20).		OK	
SI	en que ciudades atiende clinyco	Clinyco publica atencion en Antofagasta, Calama y Santiago. Si quieres, te ayudo a elegir sede y profesional para agendar.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente publica clinyco.cl seccion sedes.		OK	
SI	como agendo hora en clinyco	Puedes agendar en la agenda web de Clinyco y tambien por WhatsApp de atencion. Para ayudarte mas rapido, dime especialidad/profesional y sede preferida.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente clinyco.cl + patron de agentes humanos en Zendesk.		OK	
SI	que datos necesitan para agendar	Normalmente se solicita al menos nombre, rut, telefono y especialidad/profesional o examen. Si ya eres paciente, basta con rut y datos de la cita que quieres agendar o reagendar.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Aprendido de flujos de agentes humanos en Zendesk (marzo 2026).		OK	
SI	hacen bioimpedanciometria	Si, en conversaciones operativas de Clinyco aparece disponibilidad de bioimpedanciometria. Para confirmar cupo real y preparacion exacta del examen, te ayudo a derivar con agenda.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente operacional: historico Zendesk agentes (confirmar cupo en tiempo real).		OK	
SI	hacen examenes de imagenologia como ecografia o radiografia	En conversaciones operativas recientes, agentes indican que Clinyco no realiza imagenologia general en ese flujo. Se debe confirmar caso a caso segun examen especifico.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente operacional Zendesk; mantener respuesta conservadora y derivar para confirmacion.		OK	
SI	atienden ginecologia	No contamos con servicio de ginecologia en el flujo actual. Si quieres, te orientamos con otras especialidades disponibles en Clinyco.	No requiere derivacion, salvo que la persona pida excepcion o coordinacion externa.	No prometer disponibilidad de ginecologia.	Fuente: fila activa existente en FAQ operacional.		OK	
SI	el pad cubre cirugias revisionales bariatricas	Segun la ficha oficial FONASA PAD de bypass bariatrico, las cirugias revisionales no proceden por mecanismo PAD cuando existen cirugias bariatricas previas.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente oficial FONASA PAD 2501058.		OK	
SI	el pad se puede pagar en cuotas	Se puede solicitar prestamo medico FONASA para financiar gran parte del copago (usualmente 85%), quedando un pie inicial. Las condiciones exactas dependen de evaluacion y normativa vigente.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente FONASA PAD + material fonasapad.cl como referencia secundaria.		OK	
SI	quiero saber si califico a pad bariatrico	Te podemos orientar inicialmente con IMC (peso y estatura) y antecedentes de salud, pero la calificacion formal la determina evaluacion clinica y documentos exigidos por protocolo FONASA.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Usar como respuesta de triage: pedir peso, estatura, edad y prevision.		OK	
SI	me pueden confirmar horario exacto del doctor	Te ayudo a revisarlo, pero la confirmacion final de cupo y horario depende de agenda vigente en ese momento. Si quieres, te derivo para confirmacion inmediata.	Derivar siempre que pidan confirmacion de hora exacta o bloqueo de cupo.	No prometer cupo ni horario antes de confirmar en agenda activa.	Aprendido de conversaciones humanas: evitar compromisos de agenda sin validacion.		OK	
SI	donde veo prestadores en convenio pad	Puedes revisar prestadores en convenio PAD en el enlace oficial que publica FONASA: reddeproteccion.cl/bonopad. Si quieres, te ayudo a identificar el prestador segun tu ciudad.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente oficial enlazada en fichas FONASA PAD.		OK	
